source,target,length
4059,1753,2.760205
1753,3201,2.694950
4059,3201,4.677945
3201,4752,5.290890
4504,3201,3.000114
3201,1753,2.694950
1753,4504,3.972231
4504,4752,5.204451
4752,3201,5.290890
3201,4504,3.000114
4986,793,1.165921
793,4504,2.647253
4504,4986,3.343295
4986,4504,3.343295
4504,1753,3.972231
1753,4986,3.078744
2062,793,3.611764
793,4986,1.165921
793,2062,3.611764
2062,4912,2.267579
4504,793,2.647253
3595,2288,3.998763
2288,786,4.390653
786,3595,0.832201
624,107,4.348244
107,64,2.189166
64,624,4.703671
624,64,4.703671
64,786,3.468723
786,624,4.048183
624,786,4.048183
786,2288,4.390653
4107,519,5.210965
2288,4669,3.979310
4669,2288,3.979310
696,4669,3.603422
4912,2062,2.267579
3910,696,1.888161
3954,4669,5.230581
4669,696,3.603422
1475,3954,4.637417
696,3910,1.888161
4669,2386,5.099126
2386,4669,5.099126
4669,3954,5.230581
3954,2386,0.949959
2386,84,3.526722
84,2386,3.526722
2386,3954,0.949959
3954,1475,4.637417
2948,4107,3.713098
84,2948,1.801691
2630,2948,2.501348
2948,84,1.801691
84,2630,3.872572
4718,753,1.091218
753,2535,1.723689
2535,4718,2.229722
2535,4524,1.671461
4524,2630,3.776551
2630,84,3.872572
1475,851,2.462377
851,4794,2.538122
4794,1470,3.439809
1736,4794,3.245059
4794,851,2.538122
851,1736,3.999696
1736,851,3.999696
851,1475,2.462377
4461,1334,2.973725
1334,2994,3.741501
2994,4461,3.072123
1334,4461,2.973725
2785,239,1.239081
239,1334,3.366763
1334,2785,2.909776
2785,1334,2.909776
2785,4986,6.776310
4986,239,6.776295
239,2785,1.239081
4986,2785,6.776310
4649,239,3.571096
239,4986,6.776295
4986,1753,3.078744
1753,4649,5.607914
4649,1753,5.607914
1753,4059,2.760205
4059,4649,3.958397
4295,4649,0.801084
4649,4059,3.958397
4059,4295,3.433712
3405,4649,1.876496
4649,4295,0.801084
4295,3405,1.471947
3405,2879,1.757973
2879,4649,2.463027
4649,3405,1.876496
3405,4295,1.471947
4295,4059,3.433712
4059,3405,4.466604
3405,4059,4.466604
2133,3405,1.831990
192,509,4.086139
309,3405,1.165257
3405,2133,1.831990
2133,309,1.002822
309,2879,1.243743
2879,3405,1.757973
3405,309,1.165257
1490,2133,2.439477
509,1490,3.681637
