vehicle_id,location_id,longitude,latitude
0,4963,55.875779,24.037416
0,4549,55.860962,24.045851
0,3596,55.796809,24.063317
0,3481,55.798284,24.075417
0,3835,55.934023,24.098128
0,1012,55.846052,24.117763
0,1643,55.781147,24.045461
0,1715,55.782223,24.060014
0,4629,55.856803,24.168265
0,1260,55.740946,24.118472
0,1599,55.753475,24.176384
0,3167,55.739892,24.168145
0,4277,55.720435,24.157328
0,750,55.713547,24.161488
0,727,55.771795,24.219928
0,3192,55.708204,24.216962
0,3791,55.719780,24.260946
0,4011,55.725644,24.271912
1,2465,55.092088,22.635965
1,3358,55.071281,22.630254
1,3253,55.105912,22.679713
1,270,55.137235,22.713903
1,634,55.098352,22.795110
1,4614,55.182544,22.820736
1,3061,55.133137,22.928909
1,722,55.190963,22.959657
2,2308,56.149685,24.902685
2,3271,56.115829,24.894235
2,4518,56.133463,24.844029
2,4922,56.209972,24.840476
2,2879,56.234819,24.857394
2,276,56.153958,24.800755
2,889,56.127937,24.765346
3,2048,55.675246,24.181715
3,4104,55.666149,24.176174
3,3925,55.674393,24.267782
3,4826,55.659279,24.090888
3,4063,55.545980,24.206357
3,2620,55.475408,24.138641
3,4986,55.485179,24.260396
3,511,55.432427,24.124300
3,3116,55.431080,24.238607
3,4874,55.430283,24.079188
3,2929,55.393333,24.114671
3,1052,55.380960,24.202113
3,1966,55.381445,24.220291
3,4731,55.353131,24.182488
3,4800,55.349196,24.203176
4,4801,55.336652,24.009820
4,3246,55.291915,24.044338
4,4355,55.414450,23.974918
4,2140,55.206367,24.091301
4,1615,55.298860,24.172736
4,3140,55.472313,23.897565
4,1297,55.194618,24.132240
4,4121,55.409801,23.838386
4,2939,55.152030,24.099518
4,1172,55.137530,24.122913
4,2169,55.091368,24.071249
4,3086,55.170986,24.226528
4,2739,55.067961,24.111226
4,4617,55.204070,24.256767
5,3200,53.840249,24.043955
5,995,53.815559,24.037396
5,2950,53.753909,24.059002
5,4710,53.855509,23.951257
5,4233,53.848499,23.941045
5,1998,53.734880,23.988834
5,4668,53.715941,24.005217
5,702,53.848840,23.830615
5,1919,53.641908,23.908353
5,3184,53.558682,24.065599
5,2131,53.882753,23.788693
5,2329,53.885437,23.750845
5,4177,53.639050,23.811747
5,4607,53.858855,23.745860
5,3459,53.678538,23.771329
5,1323,53.504707,23.989564
5,3245,53.517170,23.867122
5,344,53.688092,23.729095
5,1929,53.668544,23.736211
5,4970,53.505728,23.869106
5,1403,53.543416,23.813989
5,974,53.577974,23.777523
5,2094,53.751929,23.678628
5,267,53.492542,23.846095
5,3745,53.629540,23.709031
5,162,53.427023,23.949000
5,2681,53.485932,23.820571
5,3782,53.733685,23.658325
5,4138,53.415482,23.936312
5,1632,53.706588,23.645096
5,1851,53.412604,23.885175
5,1193,53.682637,23.644659
5,3329,53.753495,23.612107
5,4134,53.417132,23.824859
5,4553,53.621232,23.646830
5,1062,53.434802,23.788467
5,3860,53.653282,23.608698
5,1732,53.362108,23.852872
5,3172,53.303712,23.982801
5,4301,53.297283,23.920058
6,960,54.728303,23.570225
6,1157,54.733434,23.579339
6,1126,54.741907,23.569657
6,3575,54.702264,23.534358
6,3510,54.672915,23.554611
6,4808,54.668339,23.557402
6,3042,54.796109,23.607225
6,4764,54.671940,23.643037
6,4515,54.715783,23.658809
6,849,54.716081,23.661259
6,2635,54.624545,23.614526
6,429,54.636502,23.671120
6,858,54.692158,23.715329
6,3611,54.578192,23.512135
6,4439,54.550124,23.523876
6,4848,54.563148,23.718327
6,2677,54.532890,23.698665
6,1671,54.563198,23.753622
6,114,54.492172,23.787180
6,475,54.554565,23.847175
7,2656,55.322508,23.457250
7,318,55.293909,23.470480
7,4949,55.361469,23.531573
7,3346,55.385843,23.528185
7,2984,55.403449,23.598803
7,4851,55.160780,23.549522
7,989,55.146675,23.694330
7,3560,55.416289,23.762335
7,3932,55.434253,23.761542
7,2530,55.211633,23.767468
7,3010,55.106408,23.730589
7,3430,55.117823,23.752112
7,548,55.121734,23.785588
7,2223,55.161672,23.829793
8,800,55.023890,23.651443
8,2310,54.970071,23.657127
8,3843,55.062232,23.590990
8,2054,55.033140,23.574630
8,509,54.932414,23.667994
8,2023,55.001508,23.735052
8,243,55.046876,23.790741
8,15,55.079147,23.811560
8,2934,55.027408,23.832911
8,1801,55.090128,23.869749
9,243,55.046876,23.790741
10,387,53.060897,23.074763
10,4703,53.058632,23.156395
10,2262,53.075011,22.977737
10,2491,52.976976,23.154343
10,3071,52.989403,23.185746
10,516,53.061817,22.939726
10,667,53.025748,22.936027
10,312,52.947139,23.186130
10,4749,52.873128,23.053915
10,1942,53.048415,23.256202
10,775,52.853811,23.039499
10,2239,52.998690,23.262994
10,4484,52.964440,22.896217
10,4221,52.907239,22.909631
10,4646,52.898584,22.906495
10,4057,52.807803,23.018209
10,4262,52.704794,23.059228
10,1964,52.692435,23.024652
10,714,52.688020,23.073071
11,2179,54.538385,22.986181
11,4491,54.467488,22.989673
11,3997,54.608805,22.944206
11,4730,54.475296,22.934600
11,519,54.519788,22.906867
11,12,54.540373,23.071585
11,4472,54.438545,22.996032
11,4394,54.480327,22.891917
11,2194,54.617161,23.069468
11,307,54.574300,23.115399
11,2100,54.688106,22.950845
11,4016,54.654197,22.866523
11,2152,54.544965,22.812103
11,3440,54.542528,22.801345
11,1709,54.723633,22.908843
11,2105,54.777753,22.983724
11,1058,54.737569,23.110343
11,112,54.770414,23.093058
11,1934,54.674591,22.770261
11,2516,54.729655,22.793317
11,378,54.689487,22.754609
11,4872,54.854250,23.046660
11,3737,54.864413,23.062935
11,275,54.880378,22.857366
11,2796,54.824876,22.768901
11,597,54.702193,22.677440
11,1978,54.821442,22.746855
11,4787,54.827183,22.677843
11,4181,54.912332,22.765751
12,3301,55.043196,24.811766
12,2247,55.045937,24.817662
12,3366,55.003687,24.864668
12,1660,55.066715,24.872482
12,4697,54.959770,24.790780
12,198,55.133929,24.784392
12,4908,54.991602,24.885838
12,360,54.960515,24.874863
